#id	name	type	x	y	width	height	ani_set_id
192
0	Gimmick	1	32	176	0	0	1
1	pipe	-9	752	96	16	16	24
2	pipe	-9	768	96	16	16	19
3	pipe	-9	768	112	16	16	20
4	pipe	-9	752	112	16	16	25
5	pipe	-10	32	0	16	16	1
6	Jar	61	18	96	16	16	3003
7	GunMachine	51	656	79	16	16	
8	HangingMachine	50	530	32	14	19	
9	HangingMachine	50	498	32	14	19	
10	HangingMachine	50	426	32	14	19	
11	HangingMachine	50	394	32	14	19	
12	HangingMachine	50	362	32	14	19	
13	HangingMachine	50	330	32	14	19	
14	Hill	510	672	128	64	32	1
15	Hill	510	576	128	32	32	0
16	Hill	510	528	128	32	32	1
17	Hill	510	320	96	128	64	0
18	Hill	510	256	96	32	32	1
19	Hill	510	192	128	32	32	1
20	Hill	510	32	112	48	48	0
21	Ground	500	16	112	16	80	
22	Ground	500	640	96	45	16	
23	Ground	500	544	32	48	32	
24	Ground	500	224	64	48	16	
25	Ground	500	128	32	32	48	
26	Ground	500	50	32	32	48	
27	Ground	500	16	0	16	80	
28	Ground	500	48	0	656	32	
29	Ground	500	710	0	80	96	
30	Ground	500	736	128	48	32	
31	Ground	500	624	160	160	32	
32	Ground	500	528	160	80	16	
33	Ground	500	560	128	16	48	
34	Ground	500	448	96	48	16	
35	Ground	500	288	96	32	32	
36	Ground	500	224	128	96	32	
37	Ground	500	176	160	336	32	
38	Ground	500	128	128	16	64	
39	Ground	500	32	160	64	32	
40	Ground	500	0	0	16	192	
41	pipe	-10	32	16	16	16	1
42	pipe	-10	32	32	16	16	1
43	portal	-11	770	112	16	16	1	4
